name,genome_filename,protein_filename
GCF_018918285.1_genomic,/scratch/akn5655/566/YACHT/demo/ref_genomes/GCF_018918285.1_genomic.fna.gz,
GCF_018918125.1_genomic,/scratch/akn5655/566/YACHT/demo/ref_genomes/GCF_018918125.1_genomic.fna.gz,
GCF_907163115.1_genomic,/scratch/akn5655/566/YACHT/demo/ref_genomes/GCF_907163115.1_genomic.fna.gz,
GCF_018918045.1_genomic,/scratch/akn5655/566/YACHT/demo/ref_genomes/GCF_018918045.1_genomic.fna.gz,
GCF_018918095.1_genomic,/scratch/akn5655/566/YACHT/demo/ref_genomes/GCF_018918095.1_genomic.fna.gz,
GCF_907163135.1_genomic,/scratch/akn5655/566/YACHT/demo/ref_genomes/GCF_907163135.1_genomic.fna.gz,
GCF_018918345.1_genomic,/scratch/akn5655/566/YACHT/demo/ref_genomes/GCF_018918345.1_genomic.fna.gz,
GCF_907163105.1_genomic,/scratch/akn5655/566/YACHT/demo/ref_genomes/GCF_907163105.1_genomic.fna.gz,
GCF_907165215.1_genomic,/scratch/akn5655/566/YACHT/demo/ref_genomes/GCF_907165215.1_genomic.fna.gz,
GCF_907164845.1_genomic,/scratch/akn5655/566/YACHT/demo/ref_genomes/GCF_907164845.1_genomic.fna.gz,
GCF_018918185.1_genomic,/scratch/akn5655/566/YACHT/demo/ref_genomes/GCF_018918185.1_genomic.fna.gz,
GCF_018918235.1_genomic,/scratch/akn5655/566/YACHT/demo/ref_genomes/GCF_018918235.1_genomic.fna.gz,
GCF_907163125.1_genomic,/scratch/akn5655/566/YACHT/demo/ref_genomes/GCF_907163125.1_genomic.fna.gz,
GCF_907164905.1_genomic,/scratch/akn5655/566/YACHT/demo/ref_genomes/GCF_907164905.1_genomic.fna.gz,
GCF_907165045.1_genomic,/scratch/akn5655/566/YACHT/demo/ref_genomes/GCF_907165045.1_genomic.fna.gz,
