organism_name	md5sum	num_unique_kmers_in_genome_sketch	num_total_kmers_in_genome_sketch	genome_scale_factor
GCA_017504655.1 Clostridia bacterium, ASM1750465v1	011e4f28bc69144f6173fea917215960	1740	1740	1000
GCF_014196455.1 Kaistia hirudinis strain=DSM 25966, ASM1419645v1	00a34aebef4f224526f9188cb92355a0	5319	5319	1000
GCA_021157895.1 Dehalococcoidia bacterium, ASM2115789v1	000851948eb46787e4cf3323c163fdb0	754	754	1000
GCA_001820215.1 Candidatus Staskawiczbacteria bacterium RIFCSPLOWO2_01_FULL_33_13, ASM182021v1	00f1e8f9f87e8b201f56b2d160b39d71	684	684	1000
GCA_016219345.1 Candidatus Saccharibacteria bacterium, ASM1621934v1	00b8e303022effea35193bcfdd30a86d	724	724	1000
GCA_017577345.1 Clostridiales bacterium, ASM1757734v1	006817520d0b972e1cf98b9a35148d9f	1589	1589	1000
GCA_021814855.1 Bacteroidetes bacterium, ASM2181485v1	010e849e8955050c892d1c886fd94441	2475	2475	1000
GCF_001746425.1 Streptomyces subrutilus strain=10-1-1, ASM174642v1	016e8de42c3eb2af3cbc857e26594f53	7920	7920	1000
GCA_017302755.1 Alphaproteobacteria bacterium, ASM1730275v1	011e6b3f7619c9c91c8311ec1c9bbd5a	2085	2085	1000
GCF_003201975.1 Pseudogracilibacillus auburnensis strain=DSM 28556, ASM320197v1	00b559b296355d27f3f8a71f7eb99517	4762	4762	1000
GCA_945906815.1 Bordetella parapertussis, TrH-03may19-243	00cec145b5ab88ff7cf6d557d6a66035	4800	4800	1000
GCA_024635485.1 bacterium, ASM2463548v1	007612080392e31824b461ff19362dc7	1122	1122	1000
GCF_000759835.1 Citrobacter sedlakii NBRC 105722 strain=NBRC 105722, ASM75983v1	00a66229ab74552a206e68e1421e4e49	4497	4497	1000
GCF_016811995.1 Citrobacter sp. R56 strain=R56, ASM1681199v1	01591aa3b3feb1a15f30834bc37b766e	4669	4669	1000
GCA_903822185.1 uncultured Rhodospirillales bacterium, freshwater MAG --- Umea2_bin-0321	0064522677c6d27a0c574d1c6c98a566	4340	4340	1000
GCA_003388555.1 Acidobacteria bacterium, ASM338855v1	0096f2a77633c7e8ac192ac0d611573f	6773	6773	1000
GCA_002430075.1 Actinobacteria bacterium UBA5975, ASM243007v1	0095dda0ab67c48e7a9e5d022d46b0cc	1210	1210	1000
